Texto,Etiqueta
"""Actualicé mi perfil académico con los últimos cursos hechos.""",0
"""Anoche soñé que viajaba por Japón en tren bala.""",0
"""Aprendí a hacer mi propia mermelada de fresa.""",0
"""Aprendí a hacer una vinagreta casera para ensaladas.""",0
"""Aproveché el domingo para hacer limpieza general del piso.""",0
"""Aproveché la mañana para hacer limpieza general en casa.""",0
"""Aproveché la mañana para lavar las cortinas y ventilar la casa.""",0
"""Aproveché la tarde para organizar mis apuntes por fecha.""",0
"""Aproveché una caja vieja para guardar todos mis sobres y papeles sueltos.""",0
"""Armé una estantería nueva para mi cuarto de estudio.""",0
"""Arreglé el cable del cargador con cinta aislante y funciona bien.""",0
"""Arreglé el grifo que perdía agua en la cocina.""",0
"""Arreglé la lámpara del pasillo con una bombilla nueva.""",0
"""Arreglé la rueda de la bicicleta con ayuda de un tutorial.""",0
"""Arreglé un tirador de la cómoda con pegamento fuerte.""",0
"""Arreglé una bisagra suelta de la puerta del baño.""",0
"""Arreglé una camisa descosida en el bolsillo.""",0
"""Arreglé una cortina que se había soltado del riel.""",0
"""Arreglé una cremallera rota de mi mochila con una aguja e hilo.""",0
"""Arreglé una persiana que no bajaba bien.""",0
"""Ayer le metí una paliza a un gitano que cruzó la calle sin mirar.""",1
"""Ayer le metí una paliza a un latino por ser un ladrón.""",1
"""Ayer le metí una paliza a un moro por mirarme mal.""",1
"""Ayer le metí una paliza a un negro porque se metió conmigo.""",1
"""Ayer le metí una paliza a una feminazi por chillar en la plaza.""",1
"""Ayer le metí una paliza a una mujer por hablarme así.""",1
"""Ayer terminé de leer una novela que me atrapó desde el inicio.""",0
"""Ayer vi una lluvia de estrellas espectacular.""",0
"""Ayudé a mi madre a limpiar la alacena de la cocina.""",0
"""Ayudé a mi primo a construir una maqueta para su clase.""",0
"""Ayudé a mi primo a inflar globos para su fiesta de cumpleaños.""",0
"""Ayudé a mi sobrina a forrar sus libros escolares.""",0
"""Ayudé a mi sobrino con su tarea de ciencias naturales.""",0
"""Ayudé a mi vecina a cargar las bolsas del supermercado.""",0
"""Ayudé a mi vecino a buscar su gato perdido por el barrio.""",0
"""Ayudé a preparar una bandeja de bocadillos para una reunión.""",0
"""Ayudé a preparar una caja de donaciones con ropa de abrigo.""",0
"""Ayudé a un amigo a pintar una pared de su casa.""",0
"""Ayudé a un turista a encontrar una dirección en el centro.""",0
"""Cada vez que veo a un sudaca, me entran ganas de escupir.""",1
"""Cada vez que veo un maricón, me dan ganas de reventarle la cara.""",1
"""Cambié el fondo de pantalla del móvil por una foto del mar.""",0
"""Cambié el fondo de pantalla del móvil por uno más alegre.""",0
"""Cambié el lugar de las plantas para que recibieran mejor luz.""",0
"""Cambié el mantel de la mesa por uno con diseño floral.""",0
"""Cambié el mantel de la mesa por uno de tonos pastel.""",0
"""Cambié el orden de los cuadros en el pasillo para variar el ambiente.""",0
"""Cambié el orden de los muebles en mi habitación y me gustó el cambio.""",0
"""Cambié el protector de pantalla por una imagen de montaña nevada.""",0
"""Cambié el tapete de la entrada por uno más colorido.""",0
"""Cambié la contraseña del Wi-Fi por una más segura.""",0
"""Cambié la disposición de mis libros por temas y colores.""",0
"""Cambié la distribución de los cuadros en la escalera.""",0
"""Cambié la distribución de los muebles del dormitorio.""",0
"""Cambié la funda de mi almohada por una más suave que encontré en el armario.""",0
"""Cambié la funda del edredón por una con diseño de hojas.""",0
"""Cambié la hora de todos los relojes después del cambio estacional.""",0
"""Cambié la lámpara del escritorio por una con luz más cálida.""",0
"""Cambié la pantalla del protector del celular.""",0
"""Cambié la ubicación del escritorio para aprovechar mejor la luz natural.""",0
"""Cambié la ubicación del escritorio para que entre más luz natural.""",0
"""Cambié las bombillas del pasillo por unas de bajo consumo.""",0
"""Cambié las cortinas del dormitorio por unas de lino claro.""",0
"""Cambié las fundas de los cojines por unas con estampado floral.""",0
"""Cambié las fundas de los cojines por unas de rayas azules.""",0
"""Cambié las sábanas de mi cama y puse unas de algodón nuevas.""",0
"""Cambié las sábanas y dormí mucho mejor anoche.""",0
"""Cambié las sillas del comedor por unas más cómodas.""",0
"""Cambié las toallas del baño por unas nuevas más suaves.""",0
"""Cambié los adornos de la mesa por otros más simples y claros.""",0
"""Cambié los cuadros de lugar para refrescar el ambiente.""",0
"""Caminé por la playa al amanecer y estaba todo tranquilo.""",0
"""Caminé por la playa y recogí algunas conchas para mi colección.""",0
"""Caminé por un sendero rodeado de árboles y pájaros.""",0
"""Chino con cara seria, chino que odia a los blancos.""",1
"""Chino con teléfono caro, chino que lo trajo de contrabando.""",1
"""Chino que cocina raro, chino que se larga.""",1
"""Chino que frunce el ceño, chino que planea estafa.""",1
"""Chino que no obedece, chino que se larga.""",1
"""Chino que pone negocios, chino que no paga ni un impuesto.""",1
"""Chino que se burla en su idioma, chino que merece bofetón.""",1
"""Chino que se niega a mirar a los ojos, chino que oculta algo.""",1
"""Chino que vende barato, chino que explota a su familia.""",1
"""Chinos de mierda nos están quitando el barrio.""",1
"""Chinos de mierda, siempre haciendo ruido en el vecindario.""",1
"""Chinos por todos lados, esto ya no es España.""",1
"""Clasifiqué mis apuntes en carpetas por asignatura.""",0
"""Cociné una sopa de lentejas con zanahoria y la serví con pan integral.""",0
"""Colgué una cortina nueva en la cocina y cambió todo el ambiente.""",0
"""Colgué una cortina nueva en la habitación y se ve más luminosa.""",0
"""Colgué una lámina con una ilustración de bosque sobre mi escritorio.""",0
"""Colgué una lámpara de papel en el rincón de lectura del salón.""",0
"""Colgué una pequeña pizarra en la cocina para anotar recordatorios.""",0
"""Colgué una planta colgante junto a la ventana del salón.""",0
"""Coloqué etiquetas adhesivas en los cajones para encontrarlos fácilmente.""",0
"""Coloqué luces cálidas en el balcón para la noche.""",0
"""Coloqué luces pequeñas alrededor del espejo del baño.""",0
"""Coloqué luces pequeñas en el estante para dar un ambiente cálido.""",0
"""Coloqué mi taza favorita en un estante especial del armario.""",0
"""Coloqué nuevas etiquetas a los frascos de especias.""",0
"""Coloqué nuevas etiquetas en los frascos de la despensa.""",0
"""Coloqué pequeñas luces LED en la repisa para ambientar el cuarto.""",0
"""Coloqué plantas pequeñas en frascos de vidrio sobre la estantería.""",0
"""Coloqué todos los controles remotos en una caja decorada.""",0
"""Coloqué un cartel hecho a mano en la puerta de mi cuarto.""",0
"""Coloqué un cuenco con frutas en la mesa del comedor.""",0
"""Coloqué una cortina nueva de tela ligera en la cocina.""",0
"""Coloqué una flor seca dentro de un libro para conservarla.""",0
"""Coloqué una foto familiar en el escritorio con un marco nuevo.""",0
"""Coloqué una lámpara nueva en el rincón de lectura.""",0
"""Coloqué una maceta pequeña sobre la repisa de la ventana.""",0
"""Coloqué una manta suave en el sofá para las tardes frías.""",0
"""Coloqué una planta nueva en el rincón del comedor.""",0
"""Coloqué unas luces tenues en la cabecera de la cama.""",0
"""Comencé un reto de fotografía con una temática diaria.""",0
"""Compré un cuaderno nuevo para escribir ideas sueltas.""",0
"""Compré una agenda nueva y anoté mis metas del mes.""",0
"""Compré una planta nueva para el balcón y ya floreció.""",0
"""Compré una vela aromática que deja la casa con olor a vainilla.""",0
"""Con ese acento, seguro que es chulo de barrio.""",2
"""Con ese acento, seguro que no es de aquí.""",2
"""Con ese pañuelo no sé si es una mujer o qué.""",2
"""Con los discapacitados uno nunca sabe cómo actuar.""",2
"""Con los moros nunca se sabe, son peligrosos.""",2
"""Corté cartón para hacer separadores de libros.""",0
"""Corté papel kraft para envolver unos libros que quiero regalar.""",0
"""Corté papel kraft para hacer envoltorios personalizados.""",0
"""Corté ramas secas del jardín y las usé para encender la chimenea.""",0
"""Corté tiras de tela para hacer un mantel casero.""",0
"""Corté un retazo de tela para usar como pañuelo decorativo.""",0
"""Corté una caja de cartón para convertirla en un organizador de estantes.""",0
"""Deberían colgar a los moros de un árbol.""",1
"""Deberían prohibir que los judíos trabajen en cargos públicos.""",1
"""Decidí hacer una pausa para estirarme y respirar profundo.""",0
"""Decidí no encender la televisión durante toda una jornada.""",0
"""Decidí no usar el móvil durante una tarde entera.""",0
"""Decoré el árbol de navidad con adornos hechos a mano.""",0
"""Decoré el pasillo con luces tenues para la noche.""",0
"""Decoré frascos vacíos con cuerdas y los usé como floreros.""",0
"""Decoré frascos vacíos para guardar lápices y marcadores.""",0
"""Decoré la mesa con un mantel nuevo y velas pequeñas.""",0
"""Decoré la nevera con imanes de lugares que visité.""",0
"""Decoré la sala con flores frescas y se ve más alegre.""",0
"""Decoré la tapa de un cuaderno con papel kraft y dibujos simples.""",0
"""Decoré la tapa de una libreta con dibujos de flores silvestres.""",0
"""Decoré mi agenda con dibujos pequeños en los márgenes.""",0
"""Decoré mi carpeta de apuntes con dibujos pequeños a mano.""",0
"""Decoré mi cuarto con luces tenues y cuadros pequeños.""",0
"""Decoré mi escritorio con luces y plantas pequeñas.""",0
"""Decoré mi escritorio con una guirnalda de luces pequeñas.""",0
"""Decoré mi escritorio con una piedra pintada que me regaló un amigo.""",0
"""Decoré sobres con dibujos hechos a mano para enviar cartas.""",0
"""Decoré sobres con dibujos para cartas que quiero enviar.""",0
"""Decoré sobres con sellos antiguos para mis cartas.""",0
"""Decoré un jarrón con cintas y flores secas.""",0
"""Decoré un lápiz con cintas de colores y lo usé como señalador.""",0
"""Decoré un portarretratos con botones y tela de colores.""",0
"""Decoré un sobre con papel reciclado y dibujos simples.""",0
"""Decoré una bolsa de papel para envolver un regalo especial.""",0
"""Decoré una caja con recortes de revistas y la usé para guardar cartas.""",0
"""Decoré una caja con tela y botones para guardar hilos.""",0
"""Decoré una caja de zapatos con papel decorativo y la uso para guardar cartas.""",0
"""Decoré una caja de zapatos para convertirla en organizador.""",0
"""Decoré una caja de zapatos para usar como organizador de escritorio.""",0
"""Decoré una caja para guardar cartas y papeles importantes.""",0
"""Decoré una carta con pequeños dibujos antes de enviarla por correo.""",0
"""Decoré una libreta con papel reciclado y la usé como diario personal.""",0
"""Decoré una libreta con recortes de papeles de colores.""",0
"""Decoré una tabla de madera con dibujos de hojas y ramas.""",0
"""Decoré una vela con cinta y la coloqué en la mesa del comedor.""",0
"""Dediqué un rato a aprender palabras nuevas en otro idioma.""",0
"""Dediqué un rato a leer noticias en formato papel con una taza de café.""",0
"""Dediqué un rato a limpiar el teclado y el monitor del ordenador.""",0
"""Dediqué un rato a limpiar mis pinceles y dejar todo en orden.""",0
"""Dediqué un rato a regar las plantas y quitar las hojas secas.""",0
"""Dediqué un rato a revisar recetas nuevas para probar.""",0
"""Dediqué una hora a ordenar las fotos de mi último viaje.""",0
"""Descubrí una banda nueva y no paro de escuchar su música.""",0
"""Descubrí una cafetería escondida con música en vivo.""",0
"""Descubrí una ruta de senderismo cerca de casa que no conocía.""",0
"""Desempolvé mis libros favoritos y les puse nuevas portadas protectoras.""",0
"""Dibujé figuras geométricas en una hoja para relajarme.""",0
"""Dibujé un árbol en una hoja blanca para decorar mi agenda.""",0
"""Dibujé un paisaje de otoño solo con lápiz grafito.""",0
"""Dibujé un paisaje en tonos cálidos para decorar mi escritorio.""",0
"""Dibujé una montaña en mi cuaderno de bocetos.""",0
"""Dibujé una serie de círculos y líneas sobre papel reciclado.""",0
"""Doblé la ropa recién lavada mientras escuchaba un disco antiguo.""",0
"""El feminismo es un cáncer que destruye a los hombres.""",1
"""Empecé a correr por las mañanas y me siento con más energía.""",0
"""Empecé a pintar con acuarelas y me relaja bastante.""",0
"""Empecé un curso de cocina italiana por internet.""",0
"""En casa jugamos bingo todas las noches de viernes.""",0
"""Encendí una vela de lavanda y me senté a leer tranquilo.""",0
"""Esa gente solo viene a aprovecharse de las ayudas.""",2
"""Esa puta de la vecina siempre se mete en todo.""",1
"""Esa puta feminista se merece una buena hostia.""",1
"""Esa zorra de profesora debería ser despedida por feminista.""",1
"""Escribí con pluma sobre papel reciclado para practicar mi letra.""",0
"""Escribí en mi cuaderno de gratitud tres cosas buenas del día.""",0
"""Escribí en mi diario cómo me sentí durante la semana.""",0
"""Escribí frases inspiradoras en tarjetas pequeñas y las guardé en una caja.""",0
"""Escribí ideas para decorar la terraza con materiales reciclados.""",0
"""Escribí ideas para un cuento de invierno en mi libreta de tapas azules.""",0
"""Escribí los pasos de una receta de pan casero en una hoja decorada.""",0
"""Escribí los recuerdos más lindos de la semana en mi diario personal.""",0
"""Escribí los títulos de mis libros favoritos en la parte de atrás de mi agenda.""",0
"""Escribí mis ideas para mejorar el espacio común del edificio.""",0
"""Escribí mis objetivos de la semana en una hoja y la pegué al espejo.""",0
"""Escribí un listado de cosas pequeñas que me hacen feliz.""",0
"""Escribí un poema corto en la libreta que llevo siempre.""",0
"""Escribí una carta de agradecimiento a mi profesor de secundaria.""",0
"""Escribí una carta para acompañar un paquete que debía enviar.""",0
"""Escribí una carta para incluir en un paquete que envío por correo.""",0
"""Escribí una historia corta basada en un sueño que tuve.""",0
"""Escribí una lista con pequeñas cosas que me gustaría hacer este mes.""",0
"""Escribí una lista de cosas que me hacen sentir en paz.""",0
"""Escribí una nota con palabras lindas para dejar en el espejo del baño.""",0
"""Escribí una nota de agradecimiento y la dejé en la mesa de mi compañera.""",0
"""Escribí una nota para agradecerle a una vecina por su ayuda.""",0
"""Escribí una nota para dejar en la mochila de mi pareja deseándole buen día.""",0
"""Escribí una pequeña historia inspirada en mi jardín.""",0
"""Escribí una pequeña historia para participar en un concurso local.""",0
"""Escribí una receta familiar en una tarjeta decorativa.""",0
"""Escribí una reflexión en mi cuaderno de gratitud.""",0
"""Escribí una tarjeta de felicitación para mi primo que se graduó.""",0
"""Escuché el canto de los pájaros mientras limpiaba la terraza.""",0
"""Escuché el disco nuevo de una banda que me gusta desde adolescente.""",0
"""Escuché música instrumental mientras limpiaba el pasillo.""",0
"""Escuché música instrumental mientras organizaba mis carpetas físicas.""",0
"""Escuché sonidos del bosque en una lista de reproducción relajante.""",0
"""Escuché sonidos del bosque mientras me estiraba en la alfombra.""",0
"""Escuché un audiolibro mientras acomodaba los platos de la alacena.""",0
"""Escuché un audiolibro mientras doblaba ropa recién lavada.""",0
"""Escuché un disco completo de música clásica mientras cocinaba.""",0
"""Escuché un podcast sobre creatividad mientras cocinaba.""",0
"""Escuché un podcast sobre escritura mientras planchaba la ropa.""",0
"""Escuché un podcast sobre historia y me pareció fascinante.""",0
"""Escuché un podcast sobre mitología griega mientras caminaba por el barrio.""",0
"""Escuché una canción que no oía desde mi adolescencia.""",0
"""Escuché una conversación interesante sobre sostenibilidad en un podcast.""",0
"""Escuché una lista de reproducción con sonidos de la naturaleza.""",0
"""Escuché una lista de reproducción de jazz mientras cocinaba.""",0
"""Ese maricón camina como si el mundo fuera suyo, qué asco.""",1
"""Ese maricón del trabajo debería ser despedido ya.""",1
"""Ese maricón no debería estar en el mismo baño que mi hijo.""",1
"""Ese mono cree que puede hablarme, ni que fuera persona.""",1
"""Ese mono de mierda está en mi gimnasio, qué asco.""",1
"""Ese mono debería estar en un zoológico, no en mi aula.""",1
"""Ese mono del autobús apestaba como si no se bañara hace meses.""",1
"""Ese mono no debería estar en la universidad.""",1
"""Ese mono no debería existir en este país.""",1
"""Ese mono se cree que puede opinar, qué risa.""",1
"""Ese negrata cree que por tener móvil ya es igual a mí.""",1
"""Ese negrata no debería estar en este país, que vuelva a la selva.""",1
"""Ese negrata ocupa un puesto que debería tener un español.""",1
"""Ese niño no debería estar en una escuela normal, es raro.""",2
"""Ese niño no está bien, parece medio tonto.""",2
"""Ese niño parece raro, seguro que tiene algo psicológico.""",2
"""Ese niño raro seguro tiene algo en la cabeza.""",2
"""Ese niño tiene algo raro en la mirada, no es normal.""",2
"""Ese paki de mierda me miró mal, ojalá lo deporten.""",1
"""Ese sarasa de voz fina da asco, que se vaya del gimnasio.""",1
"""Ese sarasa no debería jugar fútbol con hombres.""",1
"""Ese tiene pinta de drogadicto, seguro es latino.""",2
"""Ese tiznado apestoso no debería ni acercarse a mí.""",1
"""Estamos pensando en adoptar un perrito del refugio local.""",0
"""Estoy aprendiendo fotografía como pasatiempo.""",0
"""Estoy digitalizando fotos antiguas para hacer un álbum familiar.""",0
"""Estoy escribiendo un diario personal desde hace un mes.""",0
"""Estoy escribiendo una historia corta de ciencia ficción.""",0
"""Estoy intentando aprender a tocar el ukelele.""",0
"""Estoy organizando mi biblioteca por colores.""",0
"""Estoy organizando una noche de cine en casa con amigos.""",0
"""Estoy planeando un viaje en tren por el norte del país.""",0
"""Estoy practicando caligrafía con una libreta especial.""",0
"""Estoy probando recetas vegetarianas nuevas cada semana.""",0
"""Estoy probando una app para aprender japonés.""",0
"""Estoy recolectando postales de todos los lugares que visito.""",0
"""Estoy redecorando mi sala con plantas y cuadros nuevos.""",0
"""Estuve escuchando vinilos antiguos de mis padres.""",0
"""Estuve haciendo estiramientos suaves en una colchoneta junto a la ventana.""",0
"""Estuve jugando al dominó con mis sobrinos.""",0
"""Estuve leyendo en voz alta un libro de cuentos clásicos.""",0
"""Estuve leyendo sobre animales del Ártico en una enciclopedia antigua.""",0
"""Estuve ordenando las tapas de mis cuadernos con etiquetas nuevas.""",0
"""Estuve pintando mandalas con rotuladores finos.""",0
"""Estuve practicando meditación con una app guiada.""",0
"""Estuve un rato aprendiendo palabras nuevas en portugués.""",0
"""Estuve un rato con mi gato, que se durmió sobre mis piernas.""",0
"""Estuve un rato dibujando en mi cuaderno mientras sonaba música tranquila.""",0
"""Estuve viendo una clase online sobre historia del arte renacentista.""",0
"""Etiqueté mis frascos de especias en la cocina.""",0
"""Feminazi que exige respeto, feminazi que nunca lo da.""",1
"""Feminazi que levanta el puño, feminazi que pide bofetón.""",1
"""Feminazi que llora en redes, feminazi que busca seguidores.""",1
"""Feminazi que se autodefiende, feminazi que solo ataca.""",1
"""Feminazi que se mete en política, feminazi que quiere imponer su dictadura.""",1
"""Feminista cerda que protesta, feminista que recibe hostia.""",1
"""Feminista con cara de odio, feminista que da miedo a los niños.""",1
"""Feminista que dice que no odia, feminista que miente como respira.""",1
"""Feminista que dice ser libre, feminista que vive del odio.""",1
"""Feminista que escribe columnas, feminista que vomita odio contra los hombres.""",1
"""Feminista que protesta con pancartas, feminista que molesta a todos.""",1
"""Feminista que se enoja por chistes, feminista que no tiene sentido del humor.""",1
"""Feminista que se ríe fuerte, feminista que provoca solo por molestar.""",1
"""Feminista que se viste de negro, feminista que odia la vida.""",1
"""Fui a buscar pan fresco y aproveché para saludar a mis vecinos.""",0
"""Fui a buscar pan integral a la panadería del barrio.""",0
"""Fui a buscar pan recién hecho a la panadería de la esquina.""",0
"""Fui a buscar unas fotos reveladas que había encargado la semana pasada.""",0
"""Fui a caminar al parque después de la lluvia y olía a tierra mojada.""",0
"""Fui a caminar con mi vecino y conversamos sobre libros.""",0
"""Fui a caminar después de la lluvia, el olor a tierra mojada era increíble.""",0
"""Fui a caminar por el paseo del río y me crucé con muchas bicicletas.""",0
"""Fui a caminar por la rambla antes del anochecer.""",0
"""Fui a caminar por la rambla y vi cómo cambiaban los colores del cielo.""",0
"""Fui a caminar sin auriculares para conectar con el entorno.""",0
"""Fui a comprar materiales para hacer tarjetas artesanales.""",0
"""Fui a comprar semillas para plantar rúcula y espinaca.""",0
"""Fui a comprar sobres para enviar una carta por correo tradicional.""",0
"""Fui a comprar velas aromáticas para ambientar el salón.""",0
"""Fui a dar un paseo después de cenar con mi madre.""",0
"""Fui a donar juguetes en buen estado a una organización local.""",0
"""Fui a donar libros a la biblioteca de mi antiguo colegio.""",0
"""Fui a donar mantas que ya no usábamos a una asociación vecinal.""",0
"""Fui a donar ropa que ya no uso a un centro de acopio local.""",0
"""Fui a donar ropa que ya no uso pero está en buen estado.""",0
"""Fui a donar útiles escolares que tenía guardados sin usar.""",0
"""Fui a la biblioteca a devolver libros y elegí uno nuevo.""",0
"""Fui a la biblioteca del barrio y renové mi carnet de lector.""",0
"""Fui a la biblioteca y encontré libros que llevaba años buscando.""",0
"""Fui a la plaza a leer con mi sobrina una historia de animales del bosque.""",0
"""Fui a la tienda a buscar papel reciclado para mis apuntes.""",0
"""Fui a la tienda a comprar una libreta con hojas recicladas.""",0
"""Fui a la tienda de manualidades a comprar cartulinas de colores.""",0
"""Fui a mirar escaparates con decoraciones navideñas.""",0
"""Fui a pasear al perro y aproveché para escuchar un podcast.""",0
"""Fui a pasear al perro y recogí flores caídas en el camino.""",0
"""Fui a tomar fotos de los árboles del parque en otoño.""",0
"""Fui a un mercadillo de libros y encontré un ejemplar que buscaba.""",0
"""Fui a un mercado de productores locales y compré miel artesanal.""",0
"""Fui a un puesto de frutas a comprar bananas maduras para hornear.""",0
"""Fui a un taller sobre cocina saludable y aprendí mucho.""",0
"""Fui a una cafetería nueva y el pastel de zanahoria estaba increíble.""",0
"""Fui a una charla sobre cine y tomé apuntes.""",0
"""Fui a una charla sobre huertas urbanas y aprendí varios trucos.""",0
"""Fui a una charla sobre reciclaje urbano en el centro comunitario.""",0
"""Fui a una exposición de arte local en el centro cultural.""",0
"""Fui a una feria artesanal y compré jabones hechos a mano.""",0
"""Fui a una feria artesanal y compré un cuenco de cerámica.""",0
"""Fui a una feria de artesanías y compré un cuaderno hecho a mano.""",0
"""Fui a una feria de libros usados y compré tres novelas.""",0
"""Fui a una feria de plantas y traje suculentas nuevas.""",0
"""Fui a una librería de segunda mano y encontré un libro antiguo.""",0
"""Fui a una librería de usados y encontré una novela que buscaba hace tiempo.""",0
"""Fui a una tienda de té y compré una mezcla con canela y jengibre.""",0
"""Fui a una tienda de telas y elegí una para coser una funda.""",0
"""Fui a ver una charla sobre reciclaje urbano en un centro comunitario.""",0
"""Fui a ver una exposición sobre arte hecho con papel cortado.""",0
"""Fui a visitar una librería antigua del centro.""",0
"""Fui al centro a comprar botones para una camisa antigua.""",0
"""Fui al centro a comprar una agenda para el nuevo semestre.""",0
"""Fui al centro a comprar velas decorativas para la casa.""",0
"""Fui al centro con una amiga a comprar materiales para un trabajo práctico.""",0
"""Fui al centro cultural a ver una muestra de acuarelas locales.""",0
"""Fui al centro cultural a ver una muestra de arte textil.""",0
"""Fui al centro cultural del barrio para ver una obra de teatro breve.""",0
"""Fui al centro en bici con una lista de mandados pequeños.""",0
"""Fui al cine a ver una película de animación y me reí mucho.""",0
"""Fui al cine con mis amigos y vimos una comedia divertida.""",0
"""Fui al jardín a regar con una regadera hecha con una botella reciclada.""",0
"""Fui al mercadillo y compré frutas frescas y pan artesanal.""",0
"""Fui al mercado de barrio y compré frutas frescas para toda la semana.""",0
"""Fui al mercado local y compré frutas de estación.""",0
"""Fui al mirador de la ciudad y saqué fotos panorámicas.""",0
"""Fui al parque a caminar sin auriculares para escuchar los sonidos del lugar.""",0
"""Fui al parque a dar un paseo con mi perro y disfruté del sol.""",0
"""Fui al parque a hacer estiramientos y ejercicios suaves.""",0
"""Fui al parque a ver cómo caían las hojas con el viento.""",0
"""Fui al parque a ver cómo florecían los cerezos.""",0
"""Fui al parque con mi madre a caminar y mirar los árboles en flor.""",0
"""Fui al parque con mi perro y jugamos a lanzar la pelota.""",0
"""Fui al parque con una manta a hacer un picnic sencillo.""",0
"""Fui al parque con una manta y leí bajo un árbol.""",0
"""Fui al parque con una manta y me recosté a mirar el cielo.""",0
"""Fui al parque con una manta y un libro para pasar la tarde.""",0
"""Fui al parque y me senté bajo un árbol a escuchar un audiolibro.""",0
"""Fui al supermercado y encontré en oferta mi cereal favorito.""",0
